Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 30 Aug 2008 (W35),OFI Crete FC (1),0-2,0-2,PAOK FC (1)
?,(Sat) 30 Aug 2008 (W35),Olympiacos Piraeus FC (1),3-1,0-1,Asteras Tripolis FC (1)
?,(Sat) 30 Aug 2008 (W35),Panthrakikos FC (1),1-2,1-0,Ergotelis FC (1)
?,(Sun) 31 Aug 2008 (W35),AEK Athens FC (1),2-1,2-0,Panathinaikos FC (1)
?,(Sun) 31 Aug 2008 (W35),Aris Thessaloniki FC (1),2-0,0-0,Levadiakos FC (1)
?,(Sun) 31 Aug 2008 (W35),Iraklis 1908 Thessaloniki FC (1),1-2,0-2,Panserraikos FC (1)
?,(Sun) 31 Aug 2008 (W35),AE Larissa FC (1),3-0,3-0,Thrasyvoulos FC (1)
?,(Sun) 31 Aug 2008 (W35),Panionios GSS (1),0-1,0-1,Xanthi FC (1)
?,(Sat) 13 Sep 2008 (W37),Iraklis 1908 Thessaloniki FC (2),1-1,1-0,OFI Crete FC (2)
?,(Sat) 13 Sep 2008 (W37),Panathinaikos FC (2),3-0,2-0,Panthrakikos FC (2)
?,(Sat) 13 Sep 2008 (W37),Panserraikos FC (2),0-1,0-1,Panionios GSS (2)
?,(Sat) 13 Sep 2008 (W37),Xanthi FC (2),0-1,0-0,Olympiacos Piraeus FC (2)
?,(Sun) 14 Sep 2008 (W37),Asteras Tripolis FC (2),0-0,0-0,AE Larissa FC (2)
?,(Sun) 14 Sep 2008 (W37),Ergotelis FC (2),3-0,3-0,Aris Thessaloniki FC (2)
?,(Sun) 14 Sep 2008 (W37),Levadiakos FC (2),1-0,0-0,Thrasyvoulos FC (2)
?,(Sun) 14 Sep 2008 (W37),PAOK FC (2),1-1,1-1,AEK Athens FC (2)
?,(Sat) 20 Sep 2008 (W38),Aris Thessaloniki FC (3),1-2,1-2,Panathinaikos FC (3)
?,(Sat) 20 Sep 2008 (W38),AE Larissa FC (3),0-1,0-1,Xanthi FC (3)
?,(Sat) 20 Sep 2008 (W38),Panthrakikos FC (3),0-1,0-0,PAOK FC (3)
?,(Sun) 21 Sep 2008 (W38),AEK Athens FC (3),1-0,1-0,Iraklis 1908 Thessaloniki FC (3)
?,(Sun) 21 Sep 2008 (W38),Ergotelis FC (3),1-1,1-1,Levadiakos FC (3)
?,(Sun) 21 Sep 2008 (W38),Olympiacos Piraeus FC (3),4-1,2-0,Panserraikos FC (3)
?,(Sun) 21 Sep 2008 (W38),Panionios GSS (3),1-1,0-0,OFI Crete FC (3)
?,(Sun) 21 Sep 2008 (W38),Thrasyvoulos FC (3),0-2,0-0,Asteras Tripolis FC (3)
?,(Sat) 27 Sep 2008 (W39),OFI Crete FC (4),0-0,0-0,Olympiacos Piraeus FC (4)
?,(Sat) 27 Sep 2008 (W39),Panserraikos FC (4),1-3,0-1,AE Larissa FC (4)
?,(Sun) 28 Sep 2008 (W39),Iraklis 1908 Thessaloniki FC (4),0-0,0-0,Panthrakikos FC (4)
?,(Sun) 28 Sep 2008 (W39),Levadiakos FC (4),1-0,0-0,Asteras Tripolis FC (4)
?,(Sun) 28 Sep 2008 (W39),Panionios GSS (4),2-2,1-0,AEK Athens FC (4)
?,(Sun) 28 Sep 2008 (W39),PAOK FC (4),1-0,0-0,Aris Thessaloniki FC (4)
?,(Sun) 28 Sep 2008 (W39),Xanthi FC (4),1-0,0-0,Thrasyvoulos FC (4)
?,(Sat) 4 Oct 2008 (W40),Aris Thessaloniki FC (5),1-0,0-0,Iraklis 1908 Thessaloniki FC (5)
?,(Sat) 4 Oct 2008 (W40),Ergotelis FC (4),0-0,0-0,PAOK FC (5)
?,(Sat) 4 Oct 2008 (W40),AE Larissa FC (5),4-3,1-2,OFI Crete FC (5)
?,(Sun) 5 Oct 2008 (W40),Asteras Tripolis FC (5),0-0,0-0,Xanthi FC (5)
